archetype,n,label,exemplars
0,1341,Rim-protecting big,Melvin Ely (2005-06); P.J. Brown (1997-98); Paul Millsap (2009-10); Jason Thompson (2011-12); Matt Geiger (1997-98); Nick Collison (2006-07)
1,2010,"High off-rebounding, low scoring",Alonzo Gee (2013-14); Greg Minor (1997-98); Carlos Delfino (2005-06); Justin Anderson (2018-19); Chase Budinger (2015-16); Joffrey Lauvergne (2016-17)
2,1732,High-usage scorer,Aaron Nesmith (2025-26); Chris Mills (1996-97); Keldon Johnson (2023-24); Mike Dunleavy (2006-07); Lamond Murray (2000-01); Wilson Chandler (2012-13)
3,721,High-usage scorer,Devin Booker (2022-23); Bradley Beal (2017-18); Zach LaVine (2019-20); Vince Carter (2004-05); Anfernee Hardaway (1996-97); Donovan Mitchell (2024-25)
4,1642,Floor-spacing shooter,Ime Udoka (2007-08); Jaren Jackson (1996-97); Chris Mills (2001-02); Tony Snell (2017-18); Iman Shumpert (2016-17); Pat Connaughton (2020-21)
5,642,High-usage scorer,Vin Baker (1996-97); Derrick Coleman (1996-97); Anthony Davis (2020-21); Shawn Kemp (1997-98); Pau Gasol (2007-08); Amar'e Stoudemire (2011-12)
6,1679,"High off-rebounding, low 3PT%",Don Reid (2001-02); Alan Henderson (2002-03); Art Long (2001-02); Chris Wilcox (2009-10); Corie Blount (1999-00); Jerome Moiso (2003-04)
7,810,Lead playmaker,David Wesley (1997-98); Alvin Williams (2002-03); Kirk Hinrich (2007-08); Kenny Anderson (1997-98); Jameer Nelson (2010-11); Deron Williams (2013-14)
8,1405,Floor-spacing shooter,Flip Murray (2006-07); Ronnie Price (2008-09); C.J. Watson (2010-11); Cameron Payne (2018-19); Rusty LaRue (2001-02); Keith McLeod (2005-06)
9,42,"High blocks, low efficiency",0 (2001-02); 1483 (2001-02); 1786 (2001-02); 1345 (1999-00); 1 (1996-97); Cartier Martin (2014-15)
